ChangeTagsForResource, |filter eventName like "ChangeTagsForResource"
ConsoleLogin, |filter eventName like "ConsoleLogin"
executed CopyBackupToRegion, |filter eventName like "CopyBackupToRegion"
executed CopyClusterSnapshot, |filter eventName like "CopyClusterSnapshot"
executed CopyDbClusterParameterGroup, |filter eventName like "CopyDbClusterParameterGroup"
performed CopyDBClusterSnapshot, |filter eventName like "CopyDBClusterSnapshot"
executed CopyDBParameterGroup, |filter eventName like "CopyDBParameterGroup"
CopyDBSnapshot, |filter eventName like "CopyDBSnapshot"
CopyImage, |filter eventName like "CopyImage"
executed CopyOptionGroup, |filter eventName like "CopyOptionGroup"
executed CopySnapshot, |filter eventName like "CopySnapshot"
executed CreateAccessKey, |filter eventName like "CreateAccessKey"
CreateAccount, |filter eventName like "CreateAccount"
CreateAlias, |filter eventName like "CreateAlias"
CreateChangeSet, |filter eventName like "CreateChangeSet"
CreateCluster, |filter eventName like "CreateCluster"
CreateDirectory, |filter eventName like "CreateDirectory"
CreateFunction, |filter eventName like "CreateFunction"
executed CreateGameSession, |filter eventName like "CreateGameSession"
CreateImage, |filter eventName like "CreateImage"
performed CreateInstance, |filter eventName like "CreateInstance"
performed CreateInstanceProfile, |filter eventName like "CreateInstanceProfile"
performed CreateInstances, |filter eventName like "CreateInstances"
CreateKeyPair, |filter eventName like "CreateKeyPair"
CreatePermission, |filter eventName like "CreatePermission"
performed CreatePermissionSet, |filter eventName like "CreatePermissionSet"
CreatePipeline, |filter eventName like "CreatePipeline"
CreateRole, |filter eventName like "CreateRole"
CreateRoleAlias, |filter eventName like "CreateRoleAlias"
performed CreateRule, |filter eventName like "CreateRule"
CreateSAMLProvider, |filter eventName like "CreateSAMLProvider"
CreateSampleFindings, |filter eventName like "CreateSampleFindings"
executed CreateScheduledAudit, |filter eventName like "CreateScheduledAudit"
CreateSecurityConfiguration, |filter eventName like "CreateSecurityConfiguration"
CreateSecurityGroup, |filter eventName like "CreateSecurityGroup"
CreateSecurityProfile, |filter eventName like "CreateSecurityProfile"
executed CreateSnapshot, |filter eventName like "CreateSnapshot"
CreateSnapshotFromVolumeRecoveryPoint, |filter eventName like "CreateSnapshotFromVolumeRecoveryPoint"
executed CreateSoftwareConfiguration, |filter eventName like "CreateSoftwareConfiguration"
CreateSpiceCapacity, |filter eventName like "CreateSpiceCapacity"
CreateStack, |filter eventName like "CreateStack"
executed CreateUser, |filter eventName like "CreateUser"
CreateUserPool, |filter eventName like "CreateUserPool"
CreateVault, |filter eventName like "CreateVault"
executed DeactivateMFADevice, |filter eventName like "DeactivateMFADevice"
DeactivateUser, |filter eventName like "DeactivateUser"
executed Delete, |filter eventName like "Delete"
DeleteAccessKey, |filter eventName like "DeleteAccessKey"
DeleteAccount, |filter eventName like "DeleteAccount"
executed DeleteAccountAlias, |filter eventName like "DeleteAccountAlias"
DeleteAccountAuditConfiguration, |filter eventName like "DeleteAccountAuditConfiguration"
DeleteActivation, |filter eventName like "DeleteActivation"
DeleteActivity, |filter eventName like "DeleteActivity"
DeleteAddressBook, |filter eventName like "DeleteAddressBook"
DeleteApiKey, |filter eventName like "DeleteApiKey"
executed DeleteArchive, |filter eventName like "DeleteArchive"
performed Get, |filter eventName like "Get"
performed Put, |filter eventName like "Put"
